customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id
@AppleSupport It’s iOS 11.2,@260690 Thank you for following up with us. Which iOS version is your device running?,260690,594008,594007
@AppleSupport 11.1 Public beta 5,@444937 We're excited to look into this with you. Could you let us know which version of iOS you have installed?,444937,1397326,1397325
"@AppleSupport 1: ios 11.0.3 
2: everything in the comments here:https://t.co/94oZBnIEnm
3: the worse ios deployment to date period!
4: lost product faith",@438651 We're here to help with any issues you have. What is going on?,438651,1368987,1368986
@AppleSupport Thanks. Now how do you explain my phone shutting itself off randomly and being non-responsive to any amount or duration of key presses?,@489557 We're here to help. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,489557,1592796,1592795
@AppleSupport Yeah kindly check my reply,@173776 Hi. We're here to help you. DM us and we can take a closer look. https://t.co/GDrqU22YpT,173776,243304,243303
@AppleSupport It happens randomly. Not in any app specifically. I think I’ve had to hard boot my iPhone at least 10x today because it kept freezing up,@200271 Does the freezing happen while using certain apps or is it a random occurrence?,200271,354549,354548
"@AppleSupport I have sent through DM’s, thanks",@530777 We can look into the Mail app with you more. Send us a DM with more details on what is happening when you try to send a message. https://t.co/GDrqU22YpT,530777,1764451,1764450
@AppleSupport Thanks for replying. I was actually able to get it to work by turning airplane mode on and off.,"@180145 We know how important Visual Voicemail is, and we'll do all we can to help. To get started, let us know in DM what type of device you're using and it's OS version. If you're using an iPhone, you can find the iOS here: Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",180145,2730324,2730325
@AppleSupport It worked! Thank you very much,@496802 Check out this workaround for the issue. You'll find it here: https://t.co/xXaXeeSRt9 DM us if you need us. https://t.co/GDrqU22YpT,496802,1621216,1621217
"@AppleSupport 11.1.2 , I’ve turned off the background usage and automatic updates. Still draining the battery",@148888 We want to help get your phone working as it should. Which version of iOS 11 is running on your device?,148888,145159,145158
"@AppleSupport hey, Apple bot from @115858 what r u gonn do? Gimme a new #iPhone with buggy #IOS11? hahaha... A loyal cust. is GONE... hello #samsung!!","@610275 Thanks for reaching out. If you're having issues, we'd like to know more to assist. DM us and we'll continue there.",610275,2063441,2063440
@AppleSupport No haven’t backed up since May and its the July onwards photos I want😭,@724390 We can work together to figure this out. Do you have your photos synced with iCloud? Check here: https://t.co/tmRhWEkIq4,724390,2549542,2549541
"@AppleSupport never mind, I got them back. sorry. 😇",@666005 Thanks. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again.,666005,2293472,2293471
@AppleSupport Sent!,@119106 We appreciate you contacting us about this. Please send us a DM and let us know which device you have. https://t.co/GDrqU22YpT,119106,563101,563100
@AppleSupport Thank you,@289132 We want to let you know we've received your DM and will continue working with you there. Look for a reply from us shortly.,289132,707462,707461
@AppleSupport All sounds yes when I go to the settings to test it it works but any other that setting no. And I did restarted it and still doesnt work,@124866 That's definitely not expected behavior. Let's figure this out. Is this happening with all sounds? Have you restarted?,124866,40452,40451
@AppleSupport thanks pal,@502240 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,502240,1643271,1643270
@AppleSupport Unfortunately they do not operate outside of the USA. Is there a way I could find out when the next delivery would be?,"@689218 Great question! We know there's lots of excitement around the iPhone X and we certainly understand wanting to get your hands on one soon. You'd want to contact our Sales Support team directly: https://t.co/8yjRd1Xo0i
Have a good weekend!",689218,2393897,2393896
@AppleSupport I have iPhone x witch is not working,"@671655 Can you please elaborate more on your question so that we can better support you? For example, can you tell us what you mean by jailbreak? Is your phone broken? If so, can you please tell us what is not working for you?",671655,2316521,2316523
@AppleSupport Yes I have done it several times.,@406727 Have you done a normal restart on the iPhone? A fresh start can fix most issues.,406727,1221959,1221958
"@AppleSupport It has, but I brought it into the store. Thanks! 😎",@755942 Let's update to 11.1.2 and see if this issue still persists. https://t.co/80YRnjDFDk,755942,2688589,2688588
@AppleSupport Right after taking it off the charger/subsequently after when in use or when locked. It seems every time I unlock it’s down significantly.,"@699282 When do you notice the battery drainage the most? Let us know, we want to help.",699282,2437768,2437767
@AppleSupport Because that’s convenient.,@629306 Here’s what you can do as a work around until it’s fixed in a future software update: https://t.co/qODbOsp4wz DM us any issues https://t.co/GDrqU22YpT,629306,2139842,2139841
@AppleSupport @608259 Find the cause haha new iPhone 8 on sale simple as that,"@608259 If your battery life is shorter than expected, we'd like you to DM us to troubleshoot the possibilities and identify the cause. https://t.co/GDrqU22YpT",608260,2056704,2056703
"@AppleSupport Thanks, it’s an iPhone 6 and the update is iOS 11.0.3. I don’t normally have a problem with updates, I’ve got 2.3gb of storage left.","@421457 We’d like to help complete the update. What device is this happening on, and which update are you trying to install?",421457,1288934,1288933
@AppleSupport I’m not publicly announcing what models/devices I️ have because I️ doesn’t want to get robbed at school for my precious devices.  But let’s just say I️ can’t type the letter “I️” without it showing up as some weird symbol on my computer and phone.  Fix this immediately.,@626537 Perhaps we can lend a hand. What's your model and what's the issue happening on it? Tried any steps so far?,626537,2128216,2128215
@AppleSupport Yes https://t.co/BOa5EVO8rU,"@196621 From the video and screenshot you've shared with us we noticed that you're using Wi-Fi, does the issue continue if you use cellular data?",196621,2363122,2363121
@AppleSupport I am logged in and was on wifi all night last night trying to get it to work.,"@379725 Let's make sure you are signed in. Also, it might be helpful to connect to a Wi-Fi network. Making sure cellular data is enabled for this app would also be a great troubleshooting step.",379725,1100810,1100812
@AppleSupport Nothing at all as far as I can tell. It’s happened ever since I transferred to my iPhone 8+ from iPhone 6s. Another issue is album artwork is all mixed up,"@723893 That's unexpected, but we'd be happy to help. Do you notice any particular action that triggers the songs to delete?",723893,2547112,2547111
@AppleSupport Thank you so much! That was easy! Lol! Thanks again!,@223857 That's great to hear and just reach out again if you have any issues with other songs. Have a good one.,223857,458395,458394
@AppleSupport If the right path is the space between the two paths of responsibility — yep that’s where I am — no data plan — no plan to resolve it.,@152728 It sounds like you're on the right path to get this taken care of. Please let us know if you need us for anything else. We're dedicated to seeing this through with you.,152728,159544,159543
@AppleSupport I keep trying to install the latest update but it keeps telling me there is an error. Never says what it is just that it is an error.,@554414 We can help. What type of error are you seeing on your iPhone?,554414,1852575,1852576
"@AppleSupport 11.1.1 and no, but I see there is a 11.1.2 now. I will just upgrade and let you know if it happens again.","@621258 Got it, so we can provide the best troubleshooting steps can you tell us what version of iOS you're using? Also, are you an Apple Music subscriber?",621258,2618350,2618349
"@AppleSupport I have tried all of those options, it has been charging for over an hour and it is still unresponsive.",@391382 Got it. Let's try following the steps in this article to see if we can get this resolved: https://t.co/c3jtCmHUBM,391382,1153407,1153406
@AppleSupport That didn’t work 😩,@157662 Let us know your result. You have our commitment to help make sure your iPhone works like it should!,157662,177022,177021
@AppleSupport 👍,"@237899 Alright. Have you had a chance to update to iOS 11.2 yet? If not, let's follow the steps here to do so: https://t.co/80YRnjDFDk Be sure to back up before updating. Let us know if this helps.",237899,512602,512601
@AppleSupport Yeah the phone I received from @118101 was a brand new iPhone so the charger and wire are brand new.,@776308 We'd love to help with any issues you're experiencing. Is it the original Apple charger included in the iPhone box that's experiencing an issue? Or is this another adapter that was included separately?,776308,2779293,2779292
"@AppleSupport I'm using a 6s Plus. Attached img of error. phone cncts via BT for calls, USB for audio. (Also, car stereo rarely shows the correct track playing. Before updates, it was consistently correct) https://t.co/zvFbxLjAiU",@564853 We'd like to look into this with you and help get those unexpected behaviors taken care of. Which model of iPhone are you using? Let us know if this guide helps with your car stereo: https://t.co/tqjOBvBgl0,564853,2906787,2906786
@AppleSupport It says “could not sign in”,@641930 We know iTunes &amp; App Store access is important and want to help. What happens when you try signing in? Do you get any error messages?,641930,2193420,2193421
@AppleSupport So I did the update and I’m still shaving the issue,"@643233 Happy to assist. The issue was fixed in iOS 11.1.1. To update to the latest version of iOS, follow the steps in our article here: https://t.co/ahjigcvFRG",643233,2199224,2199223
@AppleSupport Tech Support just told me that other than going back in time the only way to solve this is to buy Logic Pro again. This is absolutely disgraceful. I recorded the conversation.,@622667 Please continue to stand by. We have another reply coming in our DM. Thank you for your patience as we help to provide you with a solution. https://t.co/GDrqU22YpT,622667,2110809,2110807
"@AppleSupport iPhone 6 doesn't hold the hardware capability of running the new ios software, it'll just slow it down further which isn't surprising. By your logic, ""you'll need to update the ios.After that, still slow? Ah should upgrade your device"".No thanks Mr.steal yo money.","@707811 We can help out with Siri, but we will need to upate to the latest version of the iOS.  It will help us isolate the issue further.",707811,2476101,2476100
@AppleSupport Just sent you all my DM,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",115856,713,712
@AppleSupport Yuuup that’s what I have.,@776918 We just want to make double sure that we're fully up-to-date. The current version is iOS 11.1.2. Can you check that by going to Settings &gt; General &gt; About on your iPad?,776918,2782028,2782027
"@AppleSupport I am using the EarPods that came with my phone. Fortunately, the issue has only occurred a few times. Usually it will fix the problem and start working after a minute. I have an iPhone 8 with iOS 11.1.2.",@801662 We'd be happy to look into this with you. Are these the EarPods that came with your iPhone? Have you tried a different set of headphones to see if the issue remains? Can you also tell us which iPhone and version of software you're using?,801662,2892058,2892057
@AppleSupport It started yesterday and I’m running the newest update.,@693682 We'll be happy to assist as best we can. When did you see this start to happen? What is the specific version of iOS that you're running currently?,693682,2413007,2413011
@AppleSupport Does this work with my Bus Pass (Myki) or Post office debit card (AusPost Load&amp;Go)?,"Forget your wallet. Set up Apple Pay, and shop with just your iPhone or Apple Watch. 

Learn more: https://t.co/ENfwjHHQHQ https://t.co/MRTvUxiA4i",739970,541027,540937
@AppleSupport DM sent - thanks,@369830 We'd be happy to look into this. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,369830,1058143,1058142
@AppleSupport @434035 Every time I get through all they tell me is keep trying. I have been trying since 8 am still not working.,"@434035 We want to help.  For iPhone X reservation issues, please contact us here:   https://t.co/8yjRd1Xo0i",434037,1346675,1346673
@AppleSupport I’ve sent you a DM please can you respond and sort my issues? Sick of lack of support,@313809 Meet up with us in DM. We'd love to work more with you on this and get it resolved. https://t.co/GDrqU22YpT,313809,813331,813329
@AppleSupport iOS 11.1.1,@711180 Hi there. We'd certainly like to work on getting that resolved for you. Which version of iOS are you using?,711180,2490776,2490775
"@AppleSupport Hi, what if I updated my iOS before turning off all my notifications? Will that make a difference? My notifs are still turned off at the moment and it's working perfectly.","@245890 We’d like to offer some guidance on this. Let’s make sure you have a backup, then follow the steps in this article, which includes updating to iOS version 11.2: https://t.co/osZOKKTalm

If you have any questions, let us know.",245890,542405,542404
@AppleSupport iPhone 6s Plus iOS 11.1.2,"@788697 We know how difficult that can make it to communicate. Let's see what's going on. First, can you tell us the device this is occurring on and the exact software version?",788697,2833035,2833034
@AppleSupport I did not back up before updating. Yes i have a macbook,@806472 Thanks for reaching out and providing detailed information.  We want to help. Did you back up your phone before updating?  Do you have a computer with iTunes on it?,806472,2913288,2913287
@AppleSupport GIRL.,@225741 Thanks for reaching out. We're here to help. DM us so we can look into this with you: https://t.co/GDrqU22YpT,225741,465495,465494
@AppleSupport It’s only with AirPods. Podcasts also don’t show up on my lock screen while playing where music would.,@311219 Thanks for that info! Is this only happening with the AirPods or is this happening with other headphones too?,311219,802493,802492
@AppleSupport  https://t.co/jtDvam8eGG,"@458256 We'd love to look into this. In DM, please let us know the software version you're using. https://t.co/GDrqU22YpT",458256,1457383,1457382
@AppleSupport I still didn't received the email!!! It's been over 48 hours...come on!!!! 😕😞😞😞🙏😢😢😢,"@470601 Great, please let us know if we can help with anything else in the future. We'll be here for you.",470601,1510547,1510546
@AppleSupport SE,"@212027 We'd love to look into this with you!  To do that, can you DM us what model device we're working with? https://t.co/GDrqU22YpT",212027,407088,407087
@AppleSupport I have updated and it is still happening.,"@732351 Thanks for confirming. iOS 11.1.2 was released earlier today, we'd recommend backing up and then updating. Let us know if the issue persists after that.",732351,2584375,2584374
@AppleSupport Just DM’ed you,@211525 Have you tried restarting your iPhone? Can you DM us the version of iOS you are running? Go to Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,211525,403592,403591
@AppleSupport How the led on the left side of iPhone X notch light up,"Want to get to Control Center on iPhone X? 

Just swipe down from the top right corner. https://t.co/iSAieJEf3t",711186,168808,168760
@AppleSupport 11.1.2,@628919 Let's take a look at this together. May we ask which iOS 11 version you're currently running to get started?,628919,2862152,2862153
@AppleSupport Thanks,@485374 This article has some tips that may help: https://t.co/xU1AGIa4ME,485374,1575066,1575064
"@AppleSupport What a disaster for 6+ users! My phone has literally bogged down since the update (was responsive b4 that). Now it takes 4ever to launch an app and some apps like jabber simply don't function properly.

Apple SW quality has plummeted!","In iOS 11, you've got more control over the Control Center. Here's how to customize it.

Learn more: https://t.co/zgMxUxLc7d https://t.co/aos5AvxUZO",451999,661693,661563
@AppleSupport Nope. Cant hear. Cant call. Using messenger Calls atm.,@302952 We're here to help! What kind of iPhone do you have? Are you still able to receive calls?,302952,765463,765462
@AppleSupport it’s the reminders app and i’m using the iphone 6s on ios 11.0.3,@579762 We'd be happy to look into this with you.  Which app was this?  And what device are you currently using?,579762,1952439,1952440
@AppleSupport My Macbook Pro is that one with dual-graphic card. It seems to be when it try to switch between the cards.,@754231 That's not what we'd expect you to experience. We'll do what we can to assist. Are you seeing a trend when this happens?,754231,2680934,2680933
@AppleSupport Multiple...home and work. It seems other users r having the same problem,@433176 We'd be happy to help!  Is this happening with multiple networks or just one?  Which  device are you using currently?,433176,1342802,1342801
@AppleSupport Thanks!,@201420 We can get you pointed in the right direction. Reach out to our Time Capsule experts here: https://t.co/IBIY3vMgPj,201420,360745,360746
@AppleSupport I have a Model A1396,@502097 Thanks for reaching out. First let's check if your iPad is one of the compatible models with iOS 11: https://t.co/LVMJqqcDhs,502097,1642624,1642625
@AppleSupport Thank you for that but I followed those steps but I’m still receiving texts.,@135073 We are here to help. This article can tell you more about blocking numbers in iOS. https://t.co/rYxZGDk3Lz,135073,87159,87158
@AppleSupport Just messaged you. Kindly help,"@527917 Hi there, and thanks for reaching out! Let's take a look at options for updating your iOS together in DM. https://t.co/GDrqU22YpT",527917,1752350,1752351
@AppleSupport I downloaded the update when it launched and yes I did download the latest update as well😔,@318091 We want to help! How long has this been going on? Do you have the most recent version of iOS 11.0.2 downloaded? https://t.co/GDrqU22YpT,318091,831755,831756
@AppleSupport It stops at random times.,@278714 Is this happening when using certain apps or performing certain gestures? https://t.co/GDrqU22YpT,278714,666216,666215
@AppleSupport i updated them all yesterday,@723172 Hey there! Thanks for reaching out to us. We'd be happy to help. Can you tell us if you have any pending updates for the social media apps?,723172,2543956,2543955
@AppleSupport I sent you guys a dm with more information and a screen grab video just waiting for a response.,"@542696 We want you to be able to enjoy Apple Music, and we'd like to get more information so we can help get it back up and running. 

Are you seeing an error message when this issue happens at all? Let us know in DM: https://t.co/GDrqU22YpT",542696,2179534,2179533
@AppleSupport never mind i found it https://t.co/usC77LxIDq,"@571660 Let's check out the options together. Send us a DM with the country you're located in, and we'll go from there. https://t.co/GDrqU22YpT",571660,1920255,1920254
@AppleSupport Yes,@220752 We want to help. Have you updated to the latest version of iOS?,220752,446470,446469
"@AppleSupport Was apps, after I did the iOS DL. I rebooted, twice, they finally updated.","@379182 We're more than happy to lend a hand. First, we want to clarify. Are you unable to update the iOS on your iPhone, or are you unable to update your apps?",379182,2293519,2293518
@AppleSupport There’s static when on a call &amp; I since read thats a problem now with the updates to IOS 11.0.3.  It’s not an app issue...it’s a phone issue,@331723 We want everything working perfectly after an update. What apps or devices are you using with your iPhone?,331723,891621,891620
"@AppleSupport @354442 @43297 @43298 
#inspiration",@354442 We'd love to work with you to address your battery life issues. Tell us what kind of device you're using via DM. https://t.co/GDrqU22YpT,561602,989665,989663
@AppleSupport It just started this morning and I am using an iPhone 5s,"@813138 We want to help you attach the messages to the contact names, so let's get to the bottom of this.  When did this start?  Which device are you using?",813138,2943338,2943337
"@AppleSupport Sure, thank you.",@607695 This isn't the experience we want you to have with that iOS 11 update. Let's pair up in DM to get this resolved for you. https://t.co/GDrqU22YpT,607695,2054738,2054737
@AppleSupport Well then again maybe not! Look at my reply when I tried to say it!!,@624177 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,624177,2117843,2117842
"@AppleSupport California, Bakersfield","@700041 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT",700041,2440925,2440924
"@AppleSupport 11.1.2
Turning on and off my iPad helps but it still tells me accessory doesn’t work the next day or after a few hours",@288364 We'd be happy to help out. What exact kind of issues are you having with your Smart Keyboard? What version of iOS 11 is running on the iPad Pro?,288364,704541,704540
"@AppleSupport You really came through! While my #iPhoneX was entirely unresponsive to every button, connecting it via USB to iTunes and then magically tapping Volume Up, then Volume Down, then holding the Side Button brought it magically to life and everything's perfectly fine now!!",@821165 We know how exciting it is to have that new iPhone X and want your experience to be great! Can you tell us what is happening with the phone now? DM us as many details as possible and we'll work together to get things back to what you expect. https://t.co/GDrqU22YpT,821165,2977476,2977475
@AppleSupport Ok cool,@667209 You would want to make sure iTunes is fully up-to-date prior to attempting to update the iPhone that way. Let us know if that helps in DM. https://t.co/GDrqU22YpT,667209,2298573,2298572
@AppleSupport All messages. &amp; I’ve already tried restarting my phone. It’s still sending as text messages instead of iMessages.,"@713092 Thank you for that information. Is this occurring with all messages, or only with ones to certain contacts? Does the issue persist after you restart following these steps: https://t.co/OWRDHWSt4h",713092,2499255,2499254
@AppleSupport That started the whole thing over again and it never offers me the 2 step process,@348088 Check the status of the recovery process by going to https://t.co/blQI4wX8qY For more information: https://t.co/UJm15vmMM2,348088,961125,961124
@AppleSupport 7 plus,"@176403 We want you to enjoy using your iPhone 6 without worrying about battery life. DM us, &amp; we'll work together to find a solution https://t.co/GDrqU22YpT",176403,254111,254112
"@AppleSupport Also I would have responded sooner, but my phone can barely keep a charge so I limit my Twitter use.",@389727 Updating the iOS is an important step. Check here for more info and tips to maximize your battery life: https://t.co/bivpdfBNJ6,389727,1145984,1145983
@AppleSupport Just took phone off the charger 10 minutes ago. Battery down 6 percent already and phone is hot.,@389762 We want you to be able to use your devices the way you expect. Please join us in DM and we'll partner together to fix this. https://t.co/GDrqU22YpT,389762,1146115,1146116
@AppleSupport Just the phone call,@207559 We'd like to know more. Do you have to restart your iPhone when you try to use an app or is it only a phone call?,207559,386734,386733
@AppleSupport noticed it today,@209615 We'd like to help. What device is this? Have you tried restarting it to see if the issue persists? When did you notice it?,209615,395528,395526
@AppleSupport Hi .. how to prevent my face from ending call .. i cant lock the screen with  sleep/wake button ios11.0.2,"Introducing the new Control Center in iOS 11. Now customizable.
Learn more https://t.co/fCNsZCyS3P https://t.co/WiFGzhh3AZ",293381,6753,6658
@AppleSupport Just Bluetooth Audio,@473028 Does your car have CarPlay integrated with it or is it just Bluetooth audio?,473028,1521997,1521996
"@AppleSupport I updated my phone, and it’s still acting up while it’s plugged up😭","@141849 Thanks for that detail. Let's get you up to speed as a first step and see if the issues resolve themselves. We've released iOS 11.1.2 recently, so let's get you to back up and update first. Check out this link for assistance in this step: https://t.co/EGo8nZttAk",141849,116047,116045
@AppleSupport iOS 11.1.2 and yes but the flash has only recently stopped working properly.,@739937 We're glad to assist on this. What iOS version is running on both devices? Is the flash disabled in the Camera app? Were both of them set up via a common backup?,739937,2618294,2618293
@AppleSupport @AppleSupport I sent dm @115858,@273592 We'd love to assist you. DM us at the link below for further assistance. https://t.co/GDrqU22YpT,273592,995135,995134
"@AppleSupport United Kingdom. IPAD is about month old. Before update could easy play games (mobile legends, arena of valor) and stream films for about 4.5hr before it dropped down to 50% mark.",@670209 Thanks for reaching out. DM the country or region where you are currently located to get started. https://t.co/GDrqU22YpT,670209,2341855,2341854
@AppleSupport https://t.co/f4HXf6BNLq,"@717976 We know how important it is to be able to make calls on your iPhone, so we'd be happy to provide some steps that can help. To start, we'd like to have you take a look at the steps here and let us know if the issue persists: https://t.co/U53YusKX3z",717976,2520711,2520710
@AppleSupport Yes didn’t change anything,@697892 Have you restarted your device since this issue started?,697892,2431288,2431287
"@AppleSupport No it also occurs when swiping in between home screens
Buttons become unresponsive too
It’ll stay frozen for around 5mins and then restart","@346922 Let's see how we can help. When are you experiencing the ""crashing""? Does this only happen when using/opening applications?",346922,956380,956379
@AppleSupport 5s,@196522 We want to look into this with you. Which iPhone are you using?,196522,337441,337443
@AppleSupport Pls help as i m very disappointed with apple now,@541108 Are you currently having an issue with your iPhone? We're happy to assist you.,541108,1800863,1800862
@AppleSupport Not only Aruba's carrier can't help now OFFICIALS from the Milenia Mall at Orlando wants me to wait even more. I'm limited at my time here.,@183742 That's not what we like to hear. Are you still having issues? Let us know so we can help.,183742,284418,284412
@AppleSupport  https://t.co/oRW9OVGDEq,@546428 We can work together to see what's going on with your iPhone. DM us the exact iOS version. We'll go from there. https://t.co/GDrqU22YpT,546428,1820106,1820105
"@AppleSupport I’m having no other connection issues. I can send a photo to my dad, but not a video. He uses android.","@212607 Are you able to connect to the internet from other apps? For MMS messages, you'll need cellular data or Wi-Fi.",212607,409385,409384
@AppleSupport I haven’t had the chance but it’s worth a shot.,@224171 Have you had the opportunity to restart your phone since this happened?,224171,459548,459547
@AppleSupport Y’all don’t wanna help lmao 😭,@349344 We want to help. Can you provide more details about your experience with the update in a DM? https://t.co/GDrqU22YpT,349344,966366,966365
"@AppleSupport @344777 It’s obvious, isn’t it Apple? Your update messed up everything. Duh. Maybe try fixing people’s phones.",@344777 We can definitely see what you mean and we'd like to help. Which iOS version is installed? Has your iPhone been restarted?,327472,947826,947825
@AppleSupport and i have to force a restart. different apps may not open. it varies each time,@208990 Does the speaker work to play other sounds? Which exact iOS version are you running? Any particular apps that freeze?,208990,392674,392673
@AppleSupport @477596 I’m on the current IOS and it’s still happening,@477596 What iOS version are you currently on? Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT,477597,1541068,1541067
@AppleSupport Attaching a screenshot which was taken just now .. I am well connected to Internet with App Store offline https://t.co/rzshSehugR,@548668 Are you now able to access the App Store after the reset? DM us if you're still having issues so we can help fix this. https://t.co/GDrqU22YpT,548668,1828206,1828202
"@AppleSupport Thanks for the link.  I had to start as a new iPhone, update the software, and then restore from my backup.  A bit complicated but it worked",@393385 That doesn't seem right. Perhaps this will help: https://t.co/8b3VzIJoVR DM us if you need more help! https://t.co/GDrqU22YpT,393385,1161993,1161994
@AppleSupport I finally got a hold of someone at @AppleSupport and they could not schedule the repair until Friday.  Had to purchase a new iphone in order to not be without a phone.,@126769 We'd like to know more about this issue. Please DM us more details of what's going on and we'll go from there. https://t.co/GDrqU22YpT,126769,2113831,2113830
@AppleSupport Ty,"@169773 Okay. We have released iOS 11.1.2. Make sure you have a backup first. Once backed up, go ahead and get your iPhone updated: https://t.co/80YRnjDFDk  DM us if you have any trouble: https://t.co/GDrqU22YpT",169773,225093,225092
"@AppleSupport this really needs to be corrected, it’s causing problems for a lot of us. i love y’all, but this is 👎🏼👎🏼",@438541 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,438541,2152216,2152215
@AppleSupport My phone only has 2 bars and the signal strength is low. Messages usually have problems receiving and sending.,@394422 We'd be happy to look into this with you. Can you describe the issues you're experiencing? Is it happening with multiple apps?,394422,1166640,1166639
"@AppleSupport Just updated to that version, hope it helps.","@370112 We understand. Are you using iOS 11.0.3? To check that, go to Settings &gt; General &gt; About.",370112,1059336,1059335
@AppleSupport done. It’s slowly rebuilding my library at the mo,@771556 Let's try deleting the App and re-installing it by following the steps in this article: https://t.co/SuW6zz8QwS.  Let us know your results and we can go from there.,771556,2756858,2756857
@AppleSupport Sent,"@582820 What happened to your device? We'd like to still offer help, if possible. Send us a DM with more details to continue. https://t.co/GDrqU22YpT",582820,1966637,1966636
@AppleSupport This stating happening on #iOS11 since beta times and it happens when an app quit while in landscape. Unlock and lock again backs to normal. https://t.co/RyaNWnhSau,"@529980 We'd like to help. Which version of iOS 11 are you currently running? Also, does this seem to persist after rebooting?",529980,1761068,1761067
@AppleSupport Thank you,@693988 We'd be happy to point you in the right direction for help with your gift card. You'll want to get in touch with our iTunes Support team about this. You can schedule a call with them after creating a support case online here: https://t.co/SDIe7UiyJN,693988,2414348,2414347
@AppleSupport Thanks. Steps in the link do not work so I have sent you a DM.,"@514247 Let us know in DM if you've tried the steps here: https://t.co/8MvHMFZ83h

We'll help you out if those haven't worked.",514247,1694915,1694914
@AppleSupport @323498 Did @AppleSupport solved the problem?,"@323498 If you're having issues with battery life, we're happy to help. Have you had the chance to update to iOS 11.0.2?",208249,856968,856966
@AppleSupport actually the issue started with the update ...,"@765469 Please make sure you iPhone is updated to iOS 11.1.1 or later. If the issue is persisting, send us a DM so we can look into the situation further. https://t.co/GDrqU22YpT",765469,2730328,2730327
@AppleSupport @663561 We’ll both take complimentary air pods for our troubles,@663561 We'd like to check into this with you. Could you join us in DM with more info on what you're seeing? https://t.co/GDrqU22YpT,663562,2283191,2283190
