golden_id,customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id,intent,annotation_notes,predicted_intent,confidence,second_intent,second_score,intent_margin
15,"@AppleSupport Thanks, but I couldn’t see specific sellers listed under this whoever are sellers in Flipkart, whereas @118702 is listed as authorized online partner. Isn’t this confusing?? 😳 @115858 is it that tough to find out an authorized online partner to buy an iPhone in India??",@253573 We're happy to help. You can find Authorized Resellers here: https://t.co/94mhpwW7GS,253573,569244,569243,order_purchase,,general_troubleshooting,0.2880384922027588,order_purchase,0.28481101989746094,0.0032274723052978516
16,"@AppleSupport Since I update the software, the screen freezes all the time completely at random",@327185 We're here to help you. Is this occurring completely at random or does it happen more when using specific applications?,327185,872698,872697,hardware_device,,software_update,0.4225504398345947,app_issue,0.4153425991535187,0.00720784068107605
17,"@AppleSupport I can’t see people’s texts who don’t own Apple products. Like, the watch shows when they text me but I can’t open the message app to read it","@315979 We're here and happy to help. To start, can you tell us what's happening with your Apple Watch?",315979,822734,822731,services_media,,general_troubleshooting,0.4746028780937195,account_access,0.24353833496570587,0.2310645431280136
18,"@AppleSupport Why do you only reply to new issues, immediately move them to DM, then ignore them?",@128896 Is iTunes currently updating in the App Store? Let us know in DM and we'll look into this. https://t.co/GDrqU22YpT,128896,56948,56947,general_troubleshooting,,general_troubleshooting,0.3993600308895111,order_purchase,0.3029649555683136,0.09639507532119751
19,"@AppleSupport I was doing it all through the phone, no iTunes or computers were involved. So the second situation, it couldn’t find the iCloud backup","@691097 To make sure we're on the same page, were you resetting through iTunes, but it didn't find the backup, or when setting up the device, through the Setup Assistant, it couldn't find the iCloud backup?",691097,2402123,2402122,account_access,,account_access,0.3856433928012848,services_media,0.24708226323127747,0.13856112957000732
21,@AppleSupport Nvermind! You all fixed something on the back end and now my order is magically showing up. Thanks!,@430308 Thanks for reaching out. Go ahead and contact our Sales team for more assistance on this:  https://t.co/8yjRd1Xo0i,430308,1329993,1329992,order_purchase,,order_purchase,0.31452691555023193,general_troubleshooting,0.2292208969593048,0.08530601859092712
22,@AppleSupport Yep. I've tried it so many times. This problem has occurred after updating my device to iOS 11.,@433927 We'd be happy to help. Have you tried restarting your device?,433927,1346249,1346248,general_troubleshooting,,services_media,0.3971511125564575,software_update,0.38110506534576416,0.01604604721069336
23,@AppleSupport it’s 11.1.1,@154028 Got it. Please tell us which version of iOS you have installed on your iPhone. You'll see this in Settings &gt; General &gt; About.,154028,164189,164188,general_troubleshooting,,general_troubleshooting,0.33203041553497314,services_media,0.22656935453414917,0.10546106100082397
24,"@AppleSupport  after entering password 3 times it made me change password which means my other 3 devices had to be changed also, it's a joke",@657129 Let's take a look at this together. What happens when you try to use your keyboard? Have you tried other USB ports?,657129,2256210,2256213,account_access,,account_access,0.4741399884223938,general_troubleshooting,0.3459886312484741,0.12815135717391968
25,@AppleSupport Can I get a new screen?,"@546830 We definitely want to take a look into some options for you. Let’s move over to DM, and we’ll get started there. https://t.co/GDrqU22YpT",546830,1821487,1821486,hardware_device,,general_troubleshooting,0.32513099908828735,account_access,0.15134426951408386,0.1737867295742035
26,"@AppleSupport It seems to have resolved on its own! Not sure what happened, but the time/date is back on my lock screen. Thank you for your response.",@550818 Let's look into this lock screen issue for you. Does this issue persist after restarting your device? Let us know in DM. https://t.co/GDrqU22YpT,550818,1837267,1837266,general_troubleshooting,,account_access,0.2966439723968506,general_troubleshooting,0.27135246992111206,0.025291502475738525
27,"@AppleSupport Thanks. Goes to activation lock page asking for ID/password. Can't get in. Changed password on my phone, still no joy.",@310156 We're here for you. What happens when you try to get into your iPad?,310156,797600,797599,account_access,,account_access,0.47006428241729736,general_troubleshooting,0.31270796060562134,0.15735632181167603
28,@AppleSupport iPhone 7 with no screen protector,"@422767 This behavior is not intended. Could you let us know the device model you have, and do you have a screen protector installed?",422767,1295131,1295130,general_troubleshooting,,general_troubleshooting,0.2940827012062073,hardware_device,0.20131438970565796,0.09276831150054932
29,@AppleSupport They finally showed up - thanks.  Although I think my shipping dates slipped a bit from when I had placed he reservations...,@436060 We want to help.  Have you checked your Junk mail folders to see if it arrived there?,436060,1355427,1355426,order_purchase,,order_purchase,0.3657837510108948,billing_payment,0.19863082468509674,0.16715292632579803
30,@AppleSupport i powered off my phone and all my photos and videos are wiped.,"In iOS 11, you've got more control over the Control Center. Here's how to customize it.

Learn more: https://t.co/zgMxUxLc7d https://t.co/aos5AvxUZO",820823,661629,661563,hardware_device,,account_access,0.3673778176307678,services_media,0.34597453474998474,0.02140328288078308
31,@AppleSupport But I have enough availabe storage space and full wi-fi network. Also already tried to remove and download the ios again,@728452 Got it. Let's try all the suggestions here to see if that works: https://t.co/Ui1yTnOCUz,728452,2568139,2568138,software_update,,software_update,0.46504145860671997,general_troubleshooting,0.39270755648612976,0.07233390212059021
32,@AppleSupport Thank you! It’s on an iPhone7 Plus running on iOS 11.0.3. So far I’ve restarted my phone &amp; also toggled iMessage on and off but no luck. Lol,@405412 We're happy to take a look in to this with you and figure out what is going on! What device is this on?,405412,1216339,1216338,general_troubleshooting,,general_troubleshooting,0.24788329005241394,software_update,0.19470275938510895,0.05318053066730499
33,@AppleSupport Pandora usually but it happens even when I’m not using any apps just on the home screen,@337320 We are here to help out. Using any specific apps when this happens? What do you need to do to get it working right again?,337320,915239,915238,battery_charging,,services_media,0.48153743147850037,general_troubleshooting,0.37092453241348267,0.1106128990650177
34,@AppleSupport Yes... from the Photos app... or screenshots.,@474867 We'd love to help. Are you attempting to send the photo from the Photos app?,474867,1530048,1530047,general_troubleshooting,,general_troubleshooting,0.2616516947746277,account_access,0.16265526413917542,0.09899643063545227
35,"@AppleSupport Nothing tried sliding it up, down, true tone thing and no response. It was fine before i went to bed then it did the update.",@362057 We'd be happy to look into this with you. Can you tell us what happens when you do try to change the brightness?,362057,1022919,1022918,hardware_device,,general_troubleshooting,0.3804071247577667,services_media,0.2979452311992645,0.0824618935585022
36,@AppleSupport For specific apps like WhatsApp...and my internet connection is working perfectly,@289656 We'd like to help! Can you tell us if the notifications is on a specific app or all apps?,289656,709532,709531,app_issue,,app_issue,0.34392249584198,services_media,0.3338266611099243,0.010095834732055664
37,"@AppleSupport I want to activate it via itunes, but when I connect to itunes its error 💆",@359111 We're here to help! Check out this article regarding iPhone activation: https://t.co/ywHIZGN4Ac,359111,1010508,1010507,account_access,,services_media,0.3635748028755188,general_troubleshooting,0.3394585847854614,0.024116218090057373
38,@AppleSupport my apple music app loads but doesn't show any of my music. just says we've run into a problem,"@733221 We expect you to have a great experience with iOS 11. Just to be sure we understand, can you describe what you're experiencing?",733221,2587920,2587919,services_media,,services_media,0.6235051155090332,app_issue,0.34736883640289307,0.27613627910614014
39,@AppleSupport it's saying that activation is unsuccessful :////,@135051 We're here for you. Tell us what's happening with iMessage. We'll do everything that we can to getting this sorted for you.,135051,87043,87042,account_access,,general_troubleshooting,0.4877115488052368,account_access,0.32565271854400635,0.16205883026123047
40,@AppleSupport It doesn’t happen when using an app. The phone totates the screen at its will! Even if untouched...,@563412 We'd like to help with your new iPhone. Please DM us details on which apps you're using when it stops responding. https://t.co/GDrqU22YpT,563412,1889264,1889263,hardware_device,,general_troubleshooting,0.298015832901001,hardware_device,0.2236119508743286,0.07440388202667236
41,@AppleSupport No it’s not every time I try logging in it says connecting to iCloud then it just redirects me to this https://t.co/A46cKUdbAx,@575205 We want to help. Is your device currently signed in to iCloud successfully?,575205,1932987,1932988,account_access,,account_access,0.4490402936935425,services_media,0.27747708559036255,0.17156320810317993
42,@AppleSupport This is the update I’m having a problem with the 11.1.1 update it’s horrendous!!! I have the iPhone 6+ and it is slow and freezes regularly when typing a message it’s very frustrating!!!,"@670382 We recently released an iOS update, 11.1.1. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",670382,2311591,2311590,software_update,,software_update,0.4329453110694885,services_media,0.34395337104797363,0.08899194002151489
43,"@AppleSupport @717328 After updating ios(11.1.3) my iphone 5s restarted again and again,only apple logo show and start the phone again ,when i'm connected to the wall charger it will on my battery is ok and touch panel is also ok,so what kind of shit is this😡😡😡😡😡","@717328 Thank you for checking those for us. What happens when it restarts? Does it automatically come back on? Do you see the Apple logo, spinning wheels, colored screens, etc.? Let us know in DM. https://t.co/GDrqU22YpT",717330,2518244,2518242,software_update,,software_update,0.34341925382614136,account_access,0.26092058420181274,0.08249866962432861
44,@AppleSupport Not sure how that is going to fix my phone saying it’s charging when it isn’t....,@572843 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,572843,1924502,1924501,battery_charging,,general_troubleshooting,0.37691980600357056,billing_payment,0.29714709520339966,0.0797727108001709
45,@AppleSupport How about u just get the phone to me. Stuck in China for 8 days. Expidited fast shipping my ass,"Face ID. Animoji. Wireless charging. Become an expert on all-things iPhone X with these helpful articles.
https://t.co/JChd1AwZUM",727068,92824,92818,order_purchase,,general_troubleshooting,0.3060111403465271,order_purchase,0.3038303256034851,0.002180814743041992
46,"@AppleSupport @176839 Come on Apple, don’t look surprised, there are posts on forum ALL OVER THE INTERNET, you know about this, don’t act stupid.","@176839 When you're updating, are you connected to Wi-Fi or using cellular data?",269713,255790,255788,general_troubleshooting,,general_troubleshooting,0.458173543214798,account_access,0.29745322465896606,0.1607203185558319
47,@AppleSupport The link talk about maximising battery and not solution to my battery issue.,"@201084 Great, thanks! This link details many ways to get the most out of your device battery:  https://t.co/yg6xBLkjbL",201084,359280,359279,battery_charging,,battery_charging,0.4012659788131714,services_media,0.3147629499435425,0.0865030288696289
48,"@AppleSupport  can't sign in to https://t.co/LzhByAxOD1 via imac, but other 3 devices have signed in ok with new password, the update is the problem!","@657129 If you're able to sign in at https://t.co/tmRhWEkIq4, that means you're using the correct password. Let's meet in DM to see what's different on your Mac that's not allowing the password to be recognized correctly. https://t.co/GDrqU22YpT",657129,2256209,2256208,account_access,,account_access,0.37475907802581787,software_update,0.3159077763557434,0.05885130167007446
49,@AppleSupport Yes. I have that and my phone is a mess.,@302497 Thank you for reaching out to us. We're here to help. What version of iOS 11 do you have? iOS 11.0.3 is the latest version.,302497,763667,763666,general_troubleshooting,,general_troubleshooting,0.46459054946899414,connectivity,0.29537808895111084,0.1692124605178833
50,@AppleSupport I had to reset Apple ID warnings to proceed! Now I have pages installed... but expected the software to prompt me rather than me waiting and wasting so much time! Highly unacceptable... ☹️,@458042 We'd like to look into this issue with you. Please DM us more about what's happening and any steps you've already tried. https://t.co/GDrqU22YpT,458042,2833049,2833048,account_access,,account_access,0.377354234457016,general_troubleshooting,0.3767969608306885,0.0005572736263275146
51,"@AppleSupport You should be able to select a payment option, that’s ridiculous.",@775665 Thanks for reaching out! This is expected behavior with Family Sharing. Check out this article for more information: https://t.co/QlgvVVFJem,775665,2775967,2775966,billing_payment,,billing_payment,0.36682090163230896,general_troubleshooting,0.35519939661026,0.01162150502204895
52,"@AppleSupport Yes, until I went to an Apple Store and they gave me a replacement 😤
Sort out your software issues already!!! 😡",@159407 Is this issue continuing with your iPhone?  Were you able to complete the restore?  Please let us know.  We'd love to help out.,159407,184421,184420,hardware_device,,general_troubleshooting,0.4758882522583008,software_update,0.4525226354598999,0.02336561679840088
53,"@AppleSupport iPhone 6 doesn't hold the hardware capability of running the new ios software, it'll just slow it down further which isn't surprising. By your logic, ""you'll need to update the ios.After that, still slow? Ah should upgrade your device"".No thanks Mr.steal yo money.","@707811 We can help out with Siri, but we will need to upate to the latest version of the iOS.  It will help us isolate the issue further.",707811,2476101,2476100,software_update,,software_update,0.3796962797641754,general_troubleshooting,0.25634974241256714,0.12334653735160828
54,@AppleSupport When I plugged my phone into iTunes this evening a software update popped up. But no OTA update available,@472156 We'd like to explore this further with you. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,472156,1517867,1517866,software_update,,software_update,0.45923587679862976,general_troubleshooting,0.3996872901916504,0.05954858660697937
55,@AppleSupport Purchased via iTunes,@662073 Let's get this to show properly. Are you an Apple Music member? Is this music that was imported to your library or purchased via iTunes?,662073,2276379,2276383,order_purchase,,services_media,0.3111482858657837,general_troubleshooting,0.30527186393737793,0.005876421928405762
56,"@AppleSupport of course. 2x power button (off-on) » same issue. home button, unlock phone » normal (portrait) mode. itt happened only one times, cannot repeating. 
… so a have bigger problem… my iphone very, very lazy, and slow. but only the original apple apps..",@149321 Thanks for that info. Could you tell us what you were doing when this happened? Did you exit an app in landscape mode?,149321,146776,146775,hardware_device,,hardware_device,0.4051772356033325,connectivity,0.3260253071784973,0.0791519284248352
57,"@AppleSupport I delete the apps and every time I update one of the apps remained on the phone, all the deleted apps are coming back. No music or movies.",@299009 Reach out to us in DM and we can start looking into this together. https://t.co/GDrqU22YpT,299009,748830,748828,app_issue,,services_media,0.4707927107810974,software_update,0.41408437490463257,0.056708335876464844
58,"@AppleSupport Yeah, same error if I use the cellular service, I've tried to reset my MacBook and iPhone but the problem stills there, I hope it will be resolved by itself","@808824 Got it. We also checked the System Status and an outage has not been reported. That being said, have you been connected to the same Wi-Fi network? When you disable Wi-Fi on your iPhone to use only the cellular service, do you receive the same error?",808824,2922692,2922691,connectivity,,connectivity,0.4492185711860657,services_media,0.43058058619499207,0.01863798499107361
59,"@AppleSupport @342368 Due to the update, for the first time ever I looked into getting a Samsung.",@342368 We can help. Tell us what you'e experiencing and we'll get started.,342369,938112,938111,software_update,,general_troubleshooting,0.3196388781070709,software_update,0.28757160902023315,0.03206726908683777
60,"@AppleSupport Ipn 6s. iOS11. Wifi works. 

I have to activate cellular to hit play, without wifi. Podcasts should play back buffered ctnt without inet！",@321967 Let’s investigate this together. Which device and OS are you using? Have you been able to test Wi-Fi?,321967,849994,849993,services_media,,services_media,0.3624013662338257,general_troubleshooting,0.22913336753845215,0.13326799869537354
61,@AppleSupport This started when I upgraded to iOS 11. Current version iOS 11.0.3 iPhone 6s.,@432301 We want to help you enjoy the Music app again. When did this issue start? Any recent changes to the device?,432301,1338884,1338883,software_update,,software_update,0.3491314649581909,general_troubleshooting,0.33027762174606323,0.018853843212127686
62,"@AppleSupport yes.. once i just press the home button to see the time., the wifi turns on in the phone automatically.","@171699 It sounds like you're saying that your Wi-Fi is back on in the morning even though you turned it off at night, right?",171699,233934,233938,connectivity,,connectivity,0.18481804430484772,general_troubleshooting,0.05339875817298889,0.13141928613185883
63,@AppleSupport Would to say “ hey Siri “ without is charging?! How s7 that you can to say “ ok google “ A any time. Without is in the charger?!?!,"Looking for Siri on #iPhoneX? You can either say ""Hey Siri"" or press and hold the side button to ask a question. https://t.co/XyIjiaioXi",666016,2286641,2286633,general_troubleshooting,,general_troubleshooting,0.32005345821380615,battery_charging,0.2236684113740921,0.09638504683971405
64,@AppleSupport 11.1.2 It says it’s updated to the latest version.,@542881 We'd love to help with your text problem! Which version of iOS 11 have you updated to?,542881,2924665,2924664,general_troubleshooting,,general_troubleshooting,0.3226565420627594,software_update,0.26872119307518005,0.053935348987579346
65,"@AppleSupport 11.1.2 , I’ve turned off the background usage and automatic updates. Still draining the battery",@148888 We want to help get your phone working as it should. Which version of iOS 11 is running on your device?,148888,145159,145158,battery_charging,,battery_charging,0.419262170791626,software_update,0.35981789231300354,0.059444278478622437
66,"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't",@711720 You're welcome! Are you attempting to add the same audiobooks to your iPhone from your computer?,711720,2493135,2493137,services_media,,services_media,0.33959516882896423,software_update,0.24733084440231323,0.092264324426651
67,"@AppleSupport Yes, both! I'm not getting an error, it just doesn't download. Every once in a while it will ask me to log into itunes again and verify with fingerprint,but then it just thinks forever and nothing happens until it asks me again","@587296 We'd be happy to help. Have you tried restarting your device or using Wi-Fi? If you are receiving an error, what error are you getting?",587296,2410137,2410136,app_issue,,services_media,0.40517133474349976,software_update,0.3805902302265167,0.024581104516983032
68,@AppleSupport iPhone 7 and yes,@168203 Let's look together at why it's vibrating after the update. Which model do you have and does it have iOS 11.0.2 installed?,168203,218921,218920,general_troubleshooting,,general_troubleshooting,0.3725040555000305,software_update,0.23728755116462708,0.13521650433540344
69,@AppleSupport Hey! Im currently logged in using my AppleID on my phone - but when trying to use the same ID on my Mac it’s saying incorrect password 😭 which means I can’t download the new updates to get the new iTunes 😩 any ideas? Thanks you x,"@374563 Let's tackle this together. You say that they're not working, but could you tell us how they're not working? Thanks!",374563,1079165,1079167,account_access,,account_access,0.4482599198818207,software_update,0.36223292350769043,0.08602699637413025
70,"@AppleSupport I am having ios 11.1.2
Apps like Insta are lagging way too much
Especially when any video post shows up on insta news feed","@150593 We're here to help, let's take a look at this together and make sure your iPhone 6 is performing as you expect. Which version of iOS 11 is currently installed? Does the slowness on the device occur with specific apps and/or features, or with everything?",150593,151480,151479,app_issue,,software_update,0.3953295350074768,services_media,0.3679703176021576,0.027359217405319214
71,"@AppleSupport The real test was today, back at work, and it was a fail.  Podcast app shut down about 1 minute in.... just like before the update.",@336275 We're glad to hear that. Let us know if you have any other questions we can help with. We're here for you.,336275,910562,910561,services_media,,services_media,0.4313792884349823,software_update,0.38105058670043945,0.05032870173454285
72,"@AppleSupport No I don’t want to go and re download 1000 songs one by one - I just want to auto download the ones which I’ve already added or faved in my library, through Apple Music","@232102 When viewing music you want to download, you should see a ""+"" next to the song or album to download. Learn more here: https://t.co/p0ADuTStXR

If you don't have this option let us know in a DM and we'll help with this. https://t.co/GDrqU22YpT",232102,491486,491485,services_media,,services_media,0.2963906526565552,software_update,0.1323528289794922,0.164037823677063
73,@AppleSupport Nah you’re alright. I don’t need fobbed off with some bullshit. Invest some money in a fucking battery #joke,@733472 Let's take a look at it together. Please join us in DM to get started. https://t.co/GDrqU22YpT,733472,2589205,2589204,battery_charging,,general_troubleshooting,0.28578153252601624,account_access,0.22340577840805054,0.0623757541179657
74,@AppleSupport Hello @115858 no I do not have update available on the @118936 and yes is not installed... any reasons why is not installed in my #iphone6,@230307 Great question. This icon indicates the app is not downloaded. Do you have any updates available in the App Store? Have you tapped the app icon for this app?,230307,484538,484537,software_update,,software_update,0.40541326999664307,general_troubleshooting,0.32362455129623413,0.08178871870040894
75,"@AppleSupport I’m logged in on Apple Music but when I click on a song it takes me to the plan payment page, but when I select one it says I’m registered",@415458 Let's sort this out together. Have you checked to confirm you're logged into Apple Music on your device?,415458,1261229,1261230,billing_payment,,services_media,0.40055564045906067,account_access,0.3688957095146179,0.03165993094444275
76,@AppleSupport As per latest media news apple india announce the warranty of iPhone in India even of they are purchased outside india. Please respond on DM,@479142 Great question! We're glad to go over details of the warranty and any restrictions to note. Please DM us to proceed. https://t.co/GDrqU22YpT,479142,1547568,1547567,order_purchase,,software_update,0.26008284091949463,hardware_device,0.2233622670173645,0.03672057390213013
77,"@AppleSupport Yes, unfortunately. From time to time, it just turn off link the battery had been removed. Then I turn it on normally. However it do not save the word file that I’m working in the momento for the failure.",@321952 We would like to work with you to address this issue. Was this a one-day occurrence or is you Mac still unexpectedly power off?,321952,849940,849938,hardware_device,,general_troubleshooting,0.34164535999298096,services_media,0.2703305780887604,0.07131478190422058
78,"@AppleSupport Podcasts will stop out of nowhere, and my music will start playing.",@454037 Please tell us what's going on with your iPhone. We're anxious to help get things resolved.,454037,1439365,1439364,services_media,,services_media,0.5433127880096436,general_troubleshooting,0.27603816986083984,0.2672746181488037
79,@AppleSupport Wifi and mobile network,@413800 We want to help. Does this happen if you are on a Wi-Fi network? DM us the answer and we'll look at any issues you're having there. https://t.co/GDrqU22YpT,413800,2893298,2893297,connectivity,,connectivity,0.26406383514404297,general_troubleshooting,0.15762856602668762,0.10643526911735535
80,@AppleSupport I just tried again and it said that there’s a problem with my payment @125607 want to send a phone for me to review on my channel?,"@394318 That’s a great question. The iOS update is free. Here’s a link that will show you how to complete that: https://t.co/80YRnjDFDk

For the apps, the charge will depend on the app developer. If there is a charge, you will be prompted to approve the charge.",394318,2282229,2282228,billing_payment,,general_troubleshooting,0.391550213098526,billing_payment,0.3833710551261902,0.008179157972335815
81,@AppleSupport Well this isn’t a good feature.It should be shutting off completely like in iOS 10😐,@431548 This is normal behavior with iOS 11. See https://t.co/G7BHuQnDS6 for details on how those functions work in Control Center.,431548,1335507,1335506,general_troubleshooting,,general_troubleshooting,0.3856903910636902,software_update,0.26757296919822693,0.11811742186546326
82,@AppleSupport Atall and although I'm given a option to reset my password on iMessage every time I make a new one it won't accept my old or new ☹️,"@194984 Just to clarify, are these Keychain prompts, or something else? Also, do you receive prompts from the Keychain or other programs?",194984,331683,331682,account_access,,account_access,0.38016554713249207,general_troubleshooting,0.3022594451904297,0.07790610194206238
83,@AppleSupport iOS 11.0.2 is installed and iPhone 6 Plus,@196833 Let's team up and take a closer look at both of your iPhone's issues. Which model do you have and is iOS 11.0.2 installed?,196833,338615,338616,general_troubleshooting,,general_troubleshooting,0.35117053985595703,software_update,0.34114983677864075,0.010020703077316284
84,@AppleSupport Helllo ? Reply to me !,@443574 We'd love to help! This article has information on changing your payment method. None is an option: https://t.co/Y0YoIRcZa7,443574,1812293,1812291,general_troubleshooting,,general_troubleshooting,0.3375535011291504,order_purchase,0.2141331136226654,0.12342038750648499
85,"@AppleSupport @419642 we are happy to help, just send a tweet to us.","@419642 Absolutely! Also, please keep in mind that apps greater than 100MB will require a Wi-Fi connection. https://t.co/KIxV84OZUm",607803,2055098,2055097,general_troubleshooting,,general_troubleshooting,0.3825623393058777,services_media,0.2696520686149597,0.11291027069091797
86,"@AppleSupport Appears to be an issue with iCloud preferences. It asks for password which I provide, then sends me verification code, but no box provided.",@741580 Let's get you back to being productive with your emails. Do you use iCloud for your work email?,741580,2625360,2625358,account_access,,account_access,0.39697587490081787,general_troubleshooting,0.3089814782142639,0.08799439668655396
87,@AppleSupport iOS 11.0.3 and all my apps have been updated,@200266 Thank you for letting us know that you're having trouble. Which version of iOS are you using under Settings &gt; General &gt; About?,200266,354522,354521,general_troubleshooting,,software_update,0.45824241638183594,services_media,0.29724758863449097,0.16099482774734497
88,"@AppleSupport Thanks for the follow up. Was trying to make the point that the fact that Bluetooth, alarm, and DND status icons are not visible in upper right (where we have LTE, WiFi, &amp; battery) is problematic in daily use, and could use improvement.","@706161 We’d love to take a closer look into this. To clarify, did the Phone app not show the badge app icon indicating missed calls?",706161,2750464,2750463,general_troubleshooting,,connectivity,0.34339767694473267,general_troubleshooting,0.33778294920921326,0.005614727735519409
89,@AppleSupport I’m in Canada.,"@268755 Thanks for giving those tips a shot. Send us a DM with the country you're currently located in, and we'll continue from there. https://t.co/GDrqU22YpT",268755,628035,628036,general_troubleshooting,,general_troubleshooting,0.23481467366218567,account_access,0.17887823283672333,0.05593644082546234
90,"@AppleSupport No, all apps are up to date, my phone is really slow, keyboard is driving me nuts, freezes and it is slow, among other things.",@387219 We'd like to see how we can help.  Do you have any available updates for apps in the App Store?,387219,1134084,1134083,hardware_device,,software_update,0.4320828914642334,app_issue,0.405927449464798,0.026155441999435425
91,@AppleSupport Yes but it isn’t charged at all.... still ok to charge and use it?,@317438 The Mac may not always come fully charged. Check out this link for great info on Mac batteries: https://t.co/IS1pJIaZuf,317438,829125,829124,battery_charging,,billing_payment,0.28574496507644653,battery_charging,0.26163968443870544,0.02410528063774109
