golden_id,customer_text,expected_intent,predicted_intent,intent_correct,intent_confidence,second_intent,second_score,intent_margin,generated_response,decision,decision_reason,top_similarity,top_reference_customer,top_reference_support,retrieved_customer_tweet_ids,leakage_detected,duplicate_customer_retrieved,own_tweet_retrieved
161,@AppleSupport You don’t see people timeline bout send a Dm with the issue. FIX YOUR OPERATING SYSTEM!!!,general_troubleshooting,general_troubleshooting,True,0.4610706567764282,app_issue,0.38296449184417725,0.07810616493225098,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,AUTO_HANDLE,Intent is sufficiently clear and there is strong similarity with relevant historical support cases.,0.8118289709091187,@AppleSupport Could someone please reply in regards to the issue I posted on Twitter. You asked me to go to DM and have never replied.,@221224 Thanks! Let's look into it closer via DM: https://t.co/GDrqU22YpT,"2594444, 2979707, 1762090",False,False,False
16,"@AppleSupport Since I update the software, the screen freezes all the time completely at random",hardware_device,software_update,False,0.4225504398345947,app_issue,0.4153425991535187,0.00720784068107605,We understand you're having trouble with the software update. We'd be happy to look into what's happening. Please send us a DM with more details so we can troubleshoot further.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.8715568780899048,@AppleSupport Screen freezes like what the heck?,@708487 Hi. We are here for you. What's going on with your new iPhone?,"2479058, 927568, 2728195",False,False,False
57,"@AppleSupport I delete the apps and every time I update one of the apps remained on the phone, all the deleted apps are coming back. No music or movies.",app_issue,services_media,False,0.4707927107810974,software_update,0.41408437490463257,0.056708335876464844,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.6262542605400085,"@AppleSupport new problem: music undownloaded, and I can't download any apps/music/update phone. """"Error occurred""""",@438226 We can help. Are you talking about music downloaded via an Apple Music subscription? Are you signing out of the iTunes Store?,"1367041, 1470080",False,False,False
58,"@AppleSupport Yeah, same error if I use the cellular service, I've tried to reset my MacBook and iPhone but the problem stills there, I hope it will be resolved by itself",connectivity,connectivity,True,0.4492185711860657,services_media,0.43058058619499207,0.01863798499107361,We understand you're having connectivity issues. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue further.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.7512023448944092,@AppleSupport Thank you. It happens on both WiFi and cellular. No other network I can try.,@150976 Let's work on this so you can download your apps! Does this happen on Wi-Fi or cellular data? Is there another network you can try?,"152908, 1272405, 243288",False,False,False
117,@AppleSupport I know all about the phone but I want to see it in person and try for myself how it works without the home button.,order_purchase,general_troubleshooting,False,0.3231218755245209,hardware_device,0.20525430142879486,0.11786757409572601,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.717314600944519,"@AppleSupport it’s pretty much everything... apps, texting, facetime. i try and restart my phone when my home button will work",@679108 Do you notice the freezing during anything more so than others? Like certain applications or functions. Do any steps you take temporarily remedy or help this like rebooting the iPhone?,"2349374, 239368, 2118358",False,False,False
47,@AppleSupport The link talk about maximising battery and not solution to my battery issue.,battery_charging,battery_charging,True,0.4012659788131714,services_media,0.3147629499435425,0.0865030288696289,We understand how frustrating battery issues can be. We'd be happy to troubleshoot this with you. Please send us a DM with more details about your iPhone so we can look into it further.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.7048380374908447,"@AppleSupport disabling low power mode does fix the issue. However, low power mode is the only fix that averts battery depletion within two hours. 😫 Thank you for your help with this.","@803779 If you go to Settings &gt; Battery and disable Low Power Mode, do you continue to see the same message when trying to share?","2901916, 2624893, 630970",False,False,False
126,@AppleSupport @134114 @453719 Seriously Apple! I believe most of your users know how to perform battery saving tricks! Sort out this iOS!,battery_charging,battery_charging,True,0.3334348201751709,general_troubleshooting,0.3300018012523651,0.003433018922805786,We understand how frustrating battery issues can be. We'd be happy to troubleshoot this with you. Please send us a DM with more details about your iPhone so we can look into it further.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.7812900543212891,"@AppleSupport Obviously as an long time iPhone owner, I’m already using every battery saving tip out there. (Back ground refresh, etc..)","@520913 While it's normal for your battery to decrease while in use, we'd like to better understand what's happening. Please DM us here: https://t.co/GDrqU22YpT","1721275, 2263632, 233611",False,False,False
10,"@AppleSupport Majority of my apps won't open past the loading page or crash if they do, letters won't always appear when I type, it won't connect to wifi",app_issue,app_issue,True,0.5214270353317261,services_media,0.41769593954086304,0.10373109579086304,We're sorry you're having trouble with the app. We'd be happy to help troubleshoot the issue. Please send us a DM with more details so we can look into it further.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.6959930658340454,@AppleSupport I deleted and reinstalled all the apps again and it’s still done the same thing,"@696988 Let's verify that all of your Apps are up to date. If they're not, remove the Apps and reinstall them. Then check to see if your device restarts again. Let us know the results in DM. https://t.co/GDrqU22YpT","2427416, 1356379, 1334367",False,False,False
149,"@AppleSupport I got past this, reached the terminal option but the the dialogue box where one has to type the new password was blocked - couldn’t type in it",account_access,account_access,True,0.3064115345478058,general_troubleshooting,0.1973050981760025,0.10910643637180328,We understand you're having trouble accessing your account. Please send us a DM with more details so our support team can securely look into the issue with you.,ESCALATE_TO_HUMAN,"Sensitive issue involving account, billing, or order information.",0.5949008464813232,"@AppleSupport  can't sign in to https://t.co/LzhByAxOD1 via imac, but other 3 devices have signed in ok with new password, the update is the problem!","@657129 If you're able to sign in at https://t.co/tmRhWEkIq4, that means you're using the correct password. Let's meet in DM to see what's different on your Mac that's not allowing the password to be recognized correctly. https://t.co/GDrqU22YpT","2256209, 588151, 2309871",False,False,False
87,@AppleSupport iOS 11.0.3 and all my apps have been updated,general_troubleshooting,software_update,False,0.45824241638183594,services_media,0.29724758863449097,0.16099482774734497,We understand you're having trouble with the software update. We'd be happy to look into what's happening. Please send us a DM with more details so we can troubleshoot further.,AUTO_HANDLE,Intent is sufficiently clear and there is strong similarity with relevant historical support cases.,0.8264458179473877,"@AppleSupport The current iOS version I have is 11.1.1
I have enabled auto - updates for all of my apps.",@725641 We are here to help. Let's take a look at this for you. What is your exact iOS version? Do any of the apps have updates in the App Store?,"2555417, 2525568, 1986552",False,False,False
115,@AppleSupport It just kept popping up every time I locked my phone for a few hours. It randomly stopped now tho. On a side note when I play music/podcasts/Spotify the lock screen is usually showing the wrong app (e.g. I’m playing a podcast. Lock screen shows Spotify playing 🤷🏽‍♂️),services_media,services_media,True,0.41323959827423096,app_issue,0.36658161878585815,0.0466579794883728,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.7458200454711914,"@AppleSupport why does my phone keep freezing for 2 minutes at a time randomly about 3-4x a day, and why is spotify not showing up on my lock screen?",@435519 Hi. We are here to help. What concerns are you having with the new iOS?,"1352912, 658041, 2618347",False,False,False
164,"@AppleSupport Hello, Cleaned up the memory, but it did not help",general_troubleshooting,services_media,False,0.41928327083587646,app_issue,0.41072219610214233,0.00856107473373413,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.8371723890304565,@AppleSupport A simple restart did not fix it.,@426986 We can definitely look into this with you. Do you experience the same behavior after restarting?,"1836637, 2435359, 2962842",False,False,False
62,"@AppleSupport yes.. once i just press the home button to see the time., the wifi turns on in the phone automatically.",connectivity,connectivity,True,0.18481804430484772,general_troubleshooting,0.05339875817298889,0.13141928613185883,We understand you're having connectivity issues. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue further.,ESCALATE_TO_HUMAN,Intent classification confidence is low.,0.5441309213638306,"@AppleSupport Hi, Apple!  Yes, I’m at the latest iOS.  Also, auto updates are turned on, but not on cellular data.  And yes, I’m plugged in and connected to my home WiFi.","@221785 We'll do all we can to assist. Are you running iOS 11.1.2? Also, at Settings &gt; [your name] &gt; iTunes &amp; App Stores, are Auto Updates and Use Cellular Data both turned on? Or are you trying to do auto updates whilst connect to Wi0Fi?","487857, 255578, 2050969",False,False,False
190,"@AppleSupport The problem persists after rebooting it in safe mode. Only this time, instead of just showing the pinwheel, segments of the screen horizontally fade in until the page reloads. Almost like a PowerPoint slide exit.",hardware_device,hardware_device,True,0.21427467465400696,services_media,0.1837264597415924,0.03054821491241455,We're sorry you're experiencing an issue with your device. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,Intent classification confidence is low.,0.5438944101333618,"@AppleSupport This doesn’t fix my issue, my screen rotates when I DO NOT want it to...",@194904 We're here to help! Check out this article regarding screen rotation and let us know if it persists: https://t.co/42YQu2SoDY,"331409, 242924, 1869291",False,False,False
75,"@AppleSupport I’m logged in on Apple Music but when I click on a song it takes me to the plan payment page, but when I select one it says I’m registered",billing_payment,services_media,False,0.40055564045906067,account_access,0.3688957095146179,0.03165993094444275,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.6227455139160156,@AppleSupport I buy my music from the iTunes Store,@713680 Let's get working on this so you can enjoy your music again. Are you an Apple Music subscriber or do you purchase and/or sync music through iTunes?,"2502049, 1298516, 1276328",False,False,False
70,"@AppleSupport I am having ios 11.1.2
Apps like Insta are lagging way too much
Especially when any video post shows up on insta news feed",app_issue,software_update,False,0.3953295350074768,services_media,0.3679703176021576,0.027359217405319214,We understand you're having trouble with the software update. We'd be happy to look into what's happening. Please send us a DM with more details so we can troubleshoot further.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.7117654085159302,@AppleSupport iPhone 7+. Ever since the ios11 update it’s been very laggy unfortunately. https://t.co/vFxWheWenf,"@261187 Let's work together on this. Which device does this occur with? Also, which version of iOS 11 did you update to?","743805, 2358751, 926426",False,False,False
121,"@AppleSupport I just installed the new update, I think it solved the issue. Thanks!",software_update,services_media,False,0.3457326889038086,software_update,0.3299340009689331,0.01579868793487549,We're sorry you're having trouble with the service. We'd be happy to look into this with you. Please send us a DM with more details so we can troubleshoot the issue.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.9446067810058594,@AppleSupport I did the newest update and it fixed it. Thanks for your response!,"@247104 Having a working iPhone is essential, and we're here for you.

Let's first make sure you have a recent backup, then check out this article to help resolve this issue: https://t.co/Wc5MHFZb0p","546595, 1569657, 31917",False,False,False
166,"@AppleSupport Yes it does. I’ve deleted apps, reinstalled them, closed them, restarted my phone, but nothing seems to work. It still slows down, freezes, and crashes",app_issue,app_issue,True,0.32969439029693604,software_update,0.2555984854698181,0.07409590482711792,We're sorry you're having trouble with the app. We'd be happy to help troubleshoot the issue. Please send us a DM with more details so we can look into it further.,ESCALATE_TO_HUMAN,Retrieval confidence is below the auto-handle threshold.,0.611219584941864,@AppleSupport installed it about a 2 wks ago. Updated it again to a newer version last night with no changes. The apps are slow and unresponsive at times,"@212605 We're here to help. When did you install iOS 11 and start to notice issues? Are the apps slow, or unresponsive?","409374, 457195, 324275",False,False,False
119,@AppleSupport Messenger last updated 2 days ago. May be that update that has been buggy.,app_issue,general_troubleshooting,False,0.3629477024078369,software_update,0.3531365990638733,0.009811103343963623,We're sorry you're experiencing this issue. We'd be happy to look into it with you. Please send us a DM with more details so we can troubleshoot the issue further.,ESCALATE_TO_HUMAN,"Top intents are too close, making the classification ambiguous.",0.847800612449646,@AppleSupport All is updated. App and iOS. Facebook and messenger have this “bug”,"@322681 Are auto app updates enabled? After an update, many apps may need to update. Let us know if we can help further.","853173, 2302740, 2488686",False,False,False
178,"@AppleSupport IOS 11.1.1, my battery is reducing really quickly",battery_charging,battery_charging,True,0.3881549835205078,software_update,0.2607787251472473,0.1273762583732605,We understand how frustrating battery issues can be. We'd be happy to troubleshoot this with you. Please send us a DM with more details about your iPhone so we can look into it further.,AUTO_HANDLE,Intent is sufficiently clear and there is strong similarity with relevant historical support cases.,0.7862969040870667,@AppleSupport I did DM a few hours ago.  Any thoughts on the fast battery drain?  I am on ios 11.1 @115858,@505262 We can definitely help you with your iPhone's battery. Send us a DM and we'll look into what's going on. https://t.co/GDrqU22YpT,"1655635, 40492, 757177",False,False,False
