customer_text,support_text,customer_id,customer_tweet_id,support_tweet_id,intent,annotation_notes
@AppleSupport For all notifications,@781515 We are sorry to hear that. Let's start isolating the issue. Has the vibrate feature stopped working for all notifications or only for specific ones?,781515,2801463,2801464,,
"@AppleSupport An IPhone 7 Plus and the latest prior to the new ios 11. With WiFi, searching/playing/downloading it doesn't load and with 4G it does.",@513263 We're here for you. Which Apple device and software version are you using? What happens when you try to play Apple Music on Wi-Fi?,513263,1690634,1690633,,
@AppleSupport Maybe you didn’t see my follow up comment... phone support and chat support are not answering due to “high volume”,@434040 Thanks for reaching out to us. We recommend reaching out to our Online Store here: https://t.co/8yjRd1Xo0i,434040,1346686,1346685,,
@AppleSupport Every time I️ type the word “I️” it pops up as a question mark so...I’m not sure what you guys need to do,@475691 We'd like to help. What issues have you experienced with iOS 11.1?,475691,1533860,1533861,,
"@AppleSupport El iOS 11.0.3 en mi iPhone 6s funciona muy mal , estoy absolutamente disgustado , el teléfono funciona con retardo y poca fluidez","Keep your eyes on the road, not on your #iPhone. Use Do Not Disturb While Driving to limit notifications. https://t.co/CQfnicS7WD",362822,1025684,1025630,,
@AppleSupport Yes it's plugged in turned on and says it's charging but the percentage keeps dropping it's the one I got with my phone I've only just opened it as my old one broke.,"@776612 We'd be happy to look into this with you. Just to be sure we understand, your iPhone battery percentage is dropping when connected to the charger, is that right? If so, are you using an Apple charger and power adapter?",776612,2780654,2780653,,
@AppleSupport Yes. I finally did,@476008 Thanks for reaching out. We appreciate your patience in getting your iPhone activated. Have you been able to get it activated?,476008,1535000,1534999,,
@AppleSupport That’s the same link you provided in your original response. 0 help Apple. Am I communicating with a Human or AI account?,"@692102 We understand for sure. If you still need help with your Apple ID, we'd recommend contacting our support team. Try out this link for help:  https://t.co/UJm15vmMM2",692102,2406531,2406530,,
@AppleSupport 11.0.3. Up to date,@702383 We'd love to help. What iOS version are you on?,702383,2450931,2450930,,
@AppleSupport Or you can fix the issue ASAP,@223046 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,223046,1746813,1746812,,
@AppleSupport My friend also put superglue because he thought it would help the screen stay put and now the power button is stuck,@340957 We'd be happy to address any issues that you're having. Could you please let us know what's going on?,340957,931413,931409,,
@AppleSupport Thank you! I appreciate it,"@484711 Hey there, check out this article for assistance: https://t.co/xU1AGIa4ME https://t.co/GDrqU2kzhr",484711,1572343,1572342,,
"@AppleSupport @276116 Wait till ur iphone x stuck on the 🍏 , then u will ❤️ ur 📱 x ,, u’ll feel like shit","@276116 We want you to love your new iPhone X! Let's work together in DM, and we'll partner to find a solution. https://t.co/GDrqU22YpT",276122,656229,656221,,
"@AppleSupport Just did a soft reset on my phone, still no luck. I signed into Game Center earlier today with no issues.",@807883 Does this still happen once restarting your device?,807883,2918861,2918860,,
"@AppleSupport Yes, several times. This happened in both iOS 11.0.1 and 11.0.2","@3922 Got it, thanks!  Has your iPhone been restarted yet?  If not, please do so.",3922,333607,333606,,
"@AppleSupport The home button in my #iphone7 stopped working, they said it is a hardware failure. Tomorrow I’ll know the reason.",@614581 We definitely want to make sure you are taken care of. We are here to help. DM us if you still need any assistance: https://t.co/GDrqU22YpT,614581,2077995,2077994,,
@AppleSupport As you can see from the send word in the above tweet,@334308 We're happy to help! Please tell us what's going on with your keyboard and we'll get started.,334308,902785,902784,,
"@AppleSupport Thanks, but I couldn’t see specific sellers listed under this whoever are sellers in Flipkart, whereas @118702 is listed as authorized online partner. Isn’t this confusing?? 😳 @115858 is it that tough to find out an authorized online partner to buy an iPhone in India??",@253573 We're happy to help. You can find Authorized Resellers here: https://t.co/94mhpwW7GS,253573,569244,569243,,
@AppleSupport @172388 WHY HAS NO ONE REPLIED TO ME??? Helllooooooo???,@172388 Definitely not what we want you to experience. We'd love to help resolve any issues. Please DM us to proceed. https://t.co/GDrqU22YpT,362821,1883063,1883061,,
"@AppleSupport Yes, both! I'm not getting an error, it just doesn't download. Every once in a while it will ask me to log into itunes again and verify with fingerprint,but then it just thinks forever and nothing happens until it asks me again","@587296 We'd be happy to help. Have you tried restarting your device or using Wi-Fi? If you are receiving an error, what error are you getting?",587296,2410137,2410136,,
"@AppleSupport Thanks. If experiencing regular drops, is this likely an issue with the ATV box or the app being cast?",@683386 We can help with that. Using an Apple TV is the only method that we're able to support at this time. Full info on AirPlay is here: https://t.co/ZSKtNslWr5,683386,2367789,2367788,,
@AppleSupport Settings - wi-fi sync:,"@251469 Sorry to hear you're having issues! What happens, exactly, whenever you try to sync your devices?",251469,561818,561816,,
@AppleSupport I wrote you to Direct messages,@165259 We'd be happy to see how we can help. What's going on with your iPad?,165259,296795,296794,,
@AppleSupport The most recent update available. And no.,@718416 We'd like to look into this with you. Could you tell us which version of iOS you're running now? Are you subscribed to the Apple Music service?,718416,2522549,2522548,,
"@AppleSupport ;) “willing to look into it”, as if you are doing me a favor? I highlighted an error on ‘ur’ site!","@386794 We're willing to help look into this. However, we'll need to discuss this further in DM to continue. You can start a DM here: https://t.co/GDrqU22YpT",386794,1132195,1132194,,
@AppleSupport i have restarted it and it happens randomly. i’ll unlock my phone and it’ll freeze. can’t restart it once it’s frozen.,@348211 We want to help. Does this happen while using specific applications or features? Have you tried restarting your iPhone yet?,348211,961734,961735,,
@AppleSupport The error of “this device is not supported” comes up when prior to the latest update this was not an issue,"@516259 Are you seeing any errors when plugging in your device, or does it seem like it's not recognizing the cable?",516259,1702918,1702919,,
"@AppleSupport I’m following the steps for iPhone X, it was previously working with right button and volume up, but quit working as of iOS 11.1.1 update.",@684180 We can help! Taking a screenshot on an iPhone X is just a little bit different than you may be used to. Give the steps in the following article a try: https://t.co/iQkc2ZuaLN and let us know if that worked.,684180,2371078,2371079,,
@AppleSupport Solved. Thank you so much! 💪🏻,@399294 Thanks for reaching out. Let's work to get you signed in. Go ahead and reach out to us in DM &amp; we'll get started. https://t.co/GDrqU22YpT,399294,1187743,1187744,,
@AppleSupport I’m going to DM you,@700037 Thanks for reaching out. We'd like to know more to assist. Is Siri stating there is an issue connecting to the network or are you unable to access the feature at all? Confirm the details as well as the iPhone model and iOS this occurs on and we'll take it from there.,700037,2440904,2440903,,
"@AppleSupport @505502 “Hey, literally just be grammatically incorrect in every post you make because we don’t actually know how to fix it” 🤷🏽‍♀️",@505502 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,505503,1656593,1656591,,
"@AppleSupport I recorded a 2 minute video, about half way the audio cut out",@231135 We'd love to help. What sort of behavior are you seeing when you try?,231135,1221923,1221922,,
@AppleSupport It was working just fine and out of the sudden it went in the loop. Had to re-install the IOS via iTunes,"@716991 We know it's essential to have your iPhone functioning, especially while you're working and need to get those phone calls about possible flights. Does force restarting help at all? Also, did anything happened before your iPhone started the reboot loop?",716991,2517012,2517011,,
"@AppleSupport No I’ve had it over a year, just randomly stopped sending iMessages and when I went to settings I saw that message",@357247 You came to the right place. Let's get you back to sending messages. Is this a new iPhone you are activating iMessage on?,357247,1002250,1002249,,
@AppleSupport @479452 Thank God I almost snapped my phone,@479452 We'd like to see how we can help. Try the steps in this article: https://t.co/xU1AGHStV6,479453,1548827,1548826,,
@AppleSupport iPhone 6s. And I know other people who have recently started having this problem also but idk their iphone models,@438794 That is certainly not the experience we want you to have. Which iPhone model are you using?,438794,1369581,1369580,,
"@AppleSupport It seems to have resolved on its own! Not sure what happened, but the time/date is back on my lock screen. Thank you for your response.",@550818 Let's look into this lock screen issue for you. Does this issue persist after restarting your device? Let us know in DM. https://t.co/GDrqU22YpT,550818,1837267,1837266,,
@AppleSupport Thanks for the quick response my update was just taking forever but it's good now 👍🏽,@660536 What kind of issues are you having? We'd be happy to help.,660536,2270008,2270007,,
"@AppleSupport As an iphone 5 - you can imagine I've had this for a while, so Imessge was something that was well-traveled on this phone. :)",@679977 We'd love to assist you. Can you tell us what the activation error is you are receiving?,679977,2375286,2375287,,
@AppleSupport It is set to do that. I thought maybe there was something special about this one. Quite a powerful statement.,@819839 We want to help. You can set your App Store preferences to ”Download newly available updates in the background.” Read more here: https://t.co/0Ay5pbUFav,819839,2972483,2972482,,
@AppleSupport the other option that i did is itunes&amp;app store-apple id-view apple id-sign in-payment info-then dead end theres no option to select none,"@813656 Are you referring to the payment information attached to your Apple ID, saved in your iCloud Keychain in Safari, or through Apple Pay?",813656,2945673,2945672,,
"@AppleSupport Hi it’s stopped doing it now, thank you though, I don’t know why it was doing it 😊","@177698 Let's help get this resolved. If you switch to a different Wi-Fi connection, does the behavior persist?",177698,259439,259438,,
@AppleSupport But thank you for offering.,@429397 We know how much your device means to you and would like to get it back in working order. Please join us in DM. https://t.co/GDrqU22YpT,429397,1325990,1325989,,
@AppleSupport Several people on Twitter are reporting this problem,@587876 We're happy to look into this with you. What happens when you attempt to visit iTunes Connect? Is there an error message?,587876,2191167,2191166,,
@AppleSupport @197183 “Bruh my shits fucked” -@197183 (my mans can’t even respond from his phone),"@197183 We want to help out. What's going on, exactly?",197184,339944,339943,,
@AppleSupport iOS 11.1.2 and 7plus,"@792307 We understand that your iPhone running slowly can be a challenge and we'd love to help!  Please tell us which iPhone you have, which iOS version you're using and more info on the issues you're experiencing.",792307,2849165,2849164,,
"@AppleSupport Yes, it doesn’t change anything. Still excessive usage.","@325681 We're happy to help! Do you have iCloud Photo Library enabled? If so, try optimizing storage: https://t.co/8YUslsnsM5",325681,866236,866235,,
@AppleSupport @201778 My point exactly how many 6 versions have died or crashed- 5 in my circle,@201778 That's never our intention or the experience we want you to have. Can you tell us about where you're seeing the slowness?,201779,362097,362096,,
@AppleSupport Thank you dickheads,"@126790 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",126790,2282713,2282711,,
"@AppleSupport It looks trash. Extremely unorganised. I’ve switched to Pocket Casts, much better.",@546811 We want you to be able to listen you your podcasts. What exactly is going on with your app? Continue with details in DM. https://t.co/GDrqU22YpT,546811,1821389,1821388,,
"@AppleSupport @116333 @AppleSupport Only thing I asked 2 weeks ago was a good box packed replacement and you did not listen afterwards. Now you’re back to say you want to help
Seems to me you have received legal notice from court. There is still time for replacement if you are really willing","@244623 Thank you for your time and patience. Again, we're happy to do anything we can to help. DM us and we can go from there. https://t.co/GDrqU22YpT",244623,537638,537636,,
@AppleSupport I think the ios11.0.2 has not been compatible with my network provider EE. This happened when I updated software today!,"@217163 We know how important it is to be able to make &amp; receive calls, and we want to help. What happens when you try to make a call?",217163,429556,429555,,
@AppleSupport Ok. Thanks. Let me try out some of the tips and I will let you know,"@186444 We're happy to help. Try these tips for battery life, and let us know if you still have an issue: https://t.co/TpjqFp3jxD",186444,295771,295770,,
@AppleSupport The latest 1 fam,"@776918 That's not what we'd expect to happen. Let's meet up in DM to check this out together. 

What iOS version shows in Settings &gt; General &gt; About? https://t.co/GDrqU22YpT",776918,2782025,2782024,,
@AppleSupport Literally it is a horrible user experience and awful UI.,"@216256 What issues have you noticed with Podcasts? DM us with details using the link below, and we'll see how we can help. https://t.co/GDrqU2kzhr",216256,1489526,1489527,,
@AppleSupport thank you… I did one more yesterday and it seems 🤞 to be working a bit better…,"@692163 We're here to help! Let us know the type of MacBook you have and the version of macOS Sierra currently installed, then we can work with you on this from there.",692163,2406750,2406749,,
@AppleSupport Would you consider this normal? Or placed in a poor quality vertical stand? https://t.co/AjBsX3K2Mn,"@458607 They're correct; it isn't designed to be used that way.  But with a well made stand, it should not harm your Mac.",458607,2587382,2587381,,
"@AppleSupport Thanks for your response. However, I have been to that page countless times with no success. Is there an agent in customer support that I can speak to on the phone?",@510674 Let's get you in touch with an Apple ID Account Security Advisor for further assistance at: https://t.co/UJm15vmMM2,510674,1679168,1679167,,
@AppleSupport Everything Is Up To Date,"@791931 Thanks for clarifying. 

After an update, there are often apps that also need to be updated to the latest version. In the App Store, do you have any updates to install? If so, go ahead and do so. Let us know if any updates were needed.",791931,2847505,2847504,,
@AppleSupport A month or 2,"@204728 We'd like to help.  Which device are you using and how long ago did you notice the battery issue, please?",204728,374233,374234,,
@AppleSupport UK English,@173312 Thanks for reaching out. May we ask which language keyboard you currently have?,173312,241400,241402,,
@AppleSupport I have used every possible way both manually and Using the control center.My Wifi security is WPA is that an issue?,@546009 Are you using the Control Center to connect to Wi-Fi? Learn more about how the newly designed Control Center works in iOS 11: https://t.co/G7BHuQnDS6,546009,2472870,2472869,,
@AppleSupport Yes it is,@172874 Can you tell us if the iPhone is up to date at this time? We released 11.0.2.,172874,239370,239369,,
@AppleSupport It just kept popping up every time I locked my phone for a few hours. It randomly stopped now tho. On a side note when I play music/podcasts/Spotify the lock screen is usually showing the wrong app (e.g. I’m playing a podcast. Lock screen shows Spotify playing 🤷🏽‍♂️),"@230271 That certainly isn't expected behavior. Let's work towards getting that resolved. Does this happen consistently or just once? Have you restarted your iPhone, and if so, does the keyboard disappear afterwards?",230271,484424,484423,,
@AppleSupport My problem still exist Mr/Ms Apple representative! 😥,@258971 We're happy to help. Which software version are you using on your device? You can find that under Settings &gt; General &gt; About.,258971,588084,588085,,
@AppleSupport My ipad is supposed to get unlocked in 2 days. My id is __email__. why is it taking so much time.want explanation,@710681 We want to help. Let us know more detail in DM and we'll continue there. https://t.co/GDrqU22YpT,710681,2488570,2488569,,
@AppleSupport I have updated to 11.0.2. I have been religiously updating apps but it feels like even when not in apps it’s hanging and freezing with reset,"@184518 Let us help out. Tell us which version of iOS 11 in Settings &gt; General &gt; About. Also, are there any App Store updates available?",184518,287504,287503,,
@AppleSupport Thanks but no thanks. Im just gonna run this thing until it quits and then get @122986 Pixel or a  @125607 Galaxy.,@209362 We're here to help. Please DM us via the following link and we'll help you further. https://t.co/GDrqU22YpT,209362,394079,394078,,
@AppleSupport I've tried both ways. And I have an iPhone 6s+,"@409893 Are you updating over-the-air or via iTunes on a computer? Also, what kind of iPhone do you have?",409893,1235994,1235993,,
@AppleSupport Ive done this about 2 million times and it’s still acting up,"@213993 In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display Accommodations.",213993,415152,415151,,
"@AppleSupport It restarts itself like twice a day, my battery goes down soooo fast, it turns off without me doing so and doesn't come back on, I've done every restarting process I could",@629584 We'd like to help any way we can. What's the issue happening on it and any steps tried? Which iOS is installed?,629584,2140970,2140968,,
"@AppleSupport You should be able to select a payment option, that’s ridiculous.",@775665 Thanks for reaching out! This is expected behavior with Family Sharing. Check out this article for more information: https://t.co/QlgvVVFJem,775665,2775967,2775966,,
@AppleSupport iOS 11.0.2 is installed and iPhone 6 Plus,@196833 Let's team up and take a closer look at both of your iPhone's issues. Which model do you have and is iOS 11.0.2 installed?,196833,338615,338616,,
@AppleSupport The issue is resolved but my iMessages weren’t sending on my iPhone 6,"@229214 Helping you stay connected is our goal, and we want to make sure iMessage is ready when you need it. What kind of issues are you seeing with iMessage, and on which device are you using that on?",229214,480591,480590,,
@AppleSupport I’ll tell him and give you the feedback.,@580395 Thanks for reaching out. We're here to help out. Have we tried all the steps listed here: https://t.co/xqiXha6yeB,580395,1955451,1955450,,
@AppleSupport Just did. Thanks!,@459690 Send us a DM and we'll provide some additional guidance on this. https://t.co/GDrqU22YpT,459690,1463504,1463503,,
@AppleSupport Apple's direct reply. Looks like you were working with a Senior Advisor named Cody. Best bet would be to get back in touch with them.,"@384882 We want to make sure your personal details are kept as secure as possible. If you'd like to continue, send us a DM. https://t.co/GDrqU22YpT",384882,1123157,1123155,,
@AppleSupport iPhone 7 and ios 11.1,@475264 That's not expected behavior. We'll be happy to see how we can help. Can you tell us which iPhone and iOS version you're using?,475264,1532206,1532205,,
"@AppleSupport Hmm, I think this is a Twitter app issue. Not iOS11. It doesn’t do it in safari.","@177952 Let's work together to figure it out. To clarify, which version of iOS 11 do you have installed? Also, please provide more details on what's specifically occurring and what you're doing at the time the music is pausing. What app are you using the GIF's in?",177952,2795424,2795423,,
"@AppleSupport Sound well, thank u guys :)","@680800 We’ve received your DM. Be on the lookout for our response there, shortly. https://t.co/GDrqU22YpT",680800,2356627,2356626,,
"@AppleSupport  can't sign in to https://t.co/LzhByAxOD1 via imac, but other 3 devices have signed in ok with new password, the update is the problem!","@657129 If you're able to sign in at https://t.co/tmRhWEkIq4, that means you're using the correct password. Let's meet in DM to see what's different on your Mac that's not allowing the password to be recognized correctly. https://t.co/GDrqU22YpT",657129,2256209,2256208,,
@AppleSupport It seems to me that IOS 11 is vulnerable to ransomware and pishing. This is an unusual behavior,@541121 We just received your DM. Let's tackle this there. You should have our reply soon. https://t.co/GDrqU22YpT,541121,1800907,1800906,,
@AppleSupport I did all the basic things needed to keep it going but really not happy with this update.,"@515188 DM us, and we can help you get your iPhone lasting as long as possible. https://t.co/GDrqU22YpT",515188,1698601,1698599,,
@AppleSupport I have the same issue! It’s your update! This is sooooooo inconvenient! #notahappycustomer !!,@716748 That's not the experience we want you to have.  We want to help.  Follow the steps in this article that talks about what to do if you cannot make or receive calls:  https://t.co/U53YusKX3z  Let us know if you are able to make a call after following these steps.,716749,2516064,2516063,,
@AppleSupport got through to someone who helped me finally thanks for the reply!,@756451 We'd be happy to look into your situation. We know how important it is to find resolution to any issue you may be experiencing. Can you DM us what's happneing exactly? https://t.co/GDrqU22YpT,756451,2690789,2690788,,
@AppleSupport The link talk about maximising battery and not solution to my battery issue.,"@201084 Great, thanks! This link details many ways to get the most out of your device battery:  https://t.co/yg6xBLkjbL",201084,359280,359279,,
@AppleSupport I️ have but predictive text continues to replace my I with I️,"@662899 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",662899,2280322,2280323,,
"@AppleSupport I will because the source photos are not accessible suddenly. Until this week I’d plug in my phone, open explorer, move the photos. Now i can’t. Wife’s in the same position and as of this week.","@617688  These are some good concerns, and we expect your features to work on your request not ours. You get 5GB of storage for free, and you will be notified if you need more. Even if you turn off iCloud Photos, your source photos will remain. Send su a DM if you need help. https://t.co/GDrqU22YpT",617688,2702117,2702116,,
@AppleSupport Dear apple - ain’t nobody got time for that. Please come up with a solution that doesn’t require 2 hours of my time. Thanks.,"@248315 We want to help with your iPhone. If your device with iOS 11 unexpectedly restarts repeatedly on or after December 2, 2017, this article will walk you through a solution:
https://t.co/Wc5MHFZb0p",248316,550782,550781,,
@AppleSupport Oh you sweethearts 😍 getting a lot of app crashes shortly after opening where the phone becomes totally unresponsive for a while.....,@617679 Let's check it together to get you back on track with your device. What issues are you experiencing?,617679,2333333,2333332,,
"@AppleSupport It's iOS 9 something, tried to update it but it said it's up to date? And I'm trying to yeah, got 50gb storage left so dunno what is is",@314585 We'd like to help you with that backup. Could you tell us which version of iOS you're running? Do you backup with iCloud?,314585,817017,817016,,
"@AppleSupport I need a high core count +4ghz , raid m.2/Optain , 4 x16 PCI slots for 4 GTX 1080ti conectied to a multi-sync 4K HDR monitor. And while I’m asking, please re-instate all the features of Quicktime 7 Pro.",@740930 Let's look into this together. What kind of iPhone &amp; Mac are you using &amp; what is the exact software version running on them both?,740930,2622627,2622626,,
@AppleSupport @176635 is there any official site to buy #Iphone through online site?,@176635 We know your account is important and we want to help you ensure everything is as secure as possible. DM us and we'll go from there. https://t.co/GDrqU22YpT,508332,1964007,1964006,,
@AppleSupport Yep. I've tried it so many times. This problem has occurred after updating my device to iOS 11.,@433927 We'd be happy to help. Have you tried restarting your device?,433927,1346249,1346248,,
@AppleSupport It’s fine... All sorted currently air dropping this to the TV 😂😂 thanks again for your quick response @AppleSupport like always is excellent “I can’t do that on my @115890” 😂😂 https://t.co/NXOu0ahHjZ,@252366 Send us a DM and we can take a closer look into this with you. https://t.co/GDrqU22YpT,252366,564991,564992,,
@AppleSupport It’s a 5s with IOS 11.0.3.,@538193 Let's get you dialing again. What type of phone and version of iOS 11 are you using?,538193,1791809,1791808,,
"@AppleSupport Yes, unfortunately. From time to time, it just turn off link the battery had been removed. Then I turn it on normally. However it do not save the word file that I’m working in the momento for the failure.",@321952 We would like to work with you to address this issue. Was this a one-day occurrence or is you Mac still unexpectedly power off?,321952,849940,849938,,
@AppleSupport I don’t use Face ID. It happens about three times a day,@794006 We'll help out in every way we can. Does this happen also when you unlock using Face ID?,794006,2856760,2856759,,
"@AppleSupport Thanks, I’m on version 11.0.3",@346600 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,346600,955063,955062,,
"@AppleSupport My tweet said something like ""Go fuck yourself""...
So no help needed.",@410877 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,410877,1240092,1240091,,
"@AppleSupport Right now I can get 1 message, if I try to leave a 2nd msg then iPhone says 100%full when I click it and caller gets response vm is full.","@303128 Just to be clear, if someone calls you and tries to leave a voicemail, do they get a message that says the inbox is full?",303128,766252,766251,,
@AppleSupport The screen hasn’t been very responsive since I updated. My phone freezes when using simple apps like instagram that I had to restart app!,@290848 Tell us more about the issue you're having with your iPhone. We can look into it together.,290848,714221,714219,,
@AppleSupport Yeah bro I just gave it to the apple store. They’re going fix it in 3-5 days,"@681213 We can help get it charging again. Have you tried other outlets, and if possible another charger?",681213,2358567,2358566,,
@AppleSupport Phone is getting heating to the extent that it causing burning sensation on soft tissues of hand,"New iPhone 8 or iPhone 8 Plus? Here's how to charge it wirelessly. 
https://t.co/CrZAsO6K1o",568494,1180629,1180605,,
@AppleSupport 30% less than before the update. I was totally happy with the battery before this.,@130248 We completely understand wanting to have good battery life. How long is the battery lasting on a full charge after the update?,130248,62212,62210,,
"@AppleSupport Thank you very much for your reply. I love iThings! (iPad, iPhone, iPod etc &amp; your watches.) My kids have Macs (&amp; iThings too of course). ❤️","@547077 While we don't support going back to a previous version, we’d be happy to hear your feedback here:  https://t.co/eTPVYVFyd8 https://t.co/GDrqU22YpT",547077,2076074,2076073,,
"@AppleSupport Ok, I just sent you a message.",@156474 We'd like to help. Meet us in DM and we'll take a look at this together. https://t.co/GDrqU22YpT,156474,1449197,1449196,,
@AppleSupport iOS 11.1 Not only that but my memory usage is 100% even if There’s no apps running in the background...,@369672 We want to help you with this. Which iOS are you running now? Check here: Settings &gt; General &gt; About &gt; Version.,369672,1630158,1630157,,
"@AppleSupport I want to activate it via itunes, but when I connect to itunes its error 💆",@359111 We're here to help! Check out this article regarding iPhone activation: https://t.co/ywHIZGN4Ac,359111,1010508,1010507,,
"@AppleSupport @182714 Hello sir 
Yesterday i was update my iphone 7 
Ios 11.1 
Its taking too much battery life what should i do 
Every 2 hour my mobile is off","@182714 We know how important battery life is, and we’d like to help. Send us a DM to get started. https://t.co/GDrqU22YpT",182715,279864,279863,,
@AppleSupport Thanks. This is what I see. https://t.co/Y1Y4vt49Pt,"@150959 We'd love to look into this with you. When did this issue begin? Also, check under Settings &gt; General &gt; Software Update to see if you have iOS 11.1.2 available. If so, make sure you have a current backup, and download and install it. Let us know if the issue persists.",150959,152851,152852,,
"@AppleSupport Problem solved. I tried to uninstall the new apps, restart, after clean, install again. Cz if not restart after uninstall, still error.",@172175 We want to check this out. Send us a DM and we will go from there. https://t.co/GDrqU22YpT,172175,287490,287489,,
@AppleSupport I had to transfer all my datas like phone numbers from my old iPhone to the new https://t.co/TsONyV0iVo to do this?,@195257 In order to get you with the right folks. Can you tell us what exactly you need help with?,195257,332807,332806,,
"@AppleSupport An iphone 6s, bought last christmas",@483739 We understand battery life is important. What kind of device are you using?,483739,2113894,2113893,,
@AppleSupport When I send messages,@632407 Are you seeing this with your messages or someone else's?,632407,2152117,2152116,,
@AppleSupport Hw much time it will take to resolve coz i am suffering alot and my work also bothering me,@444066 Go ahead and DM us your country and we'll continue working there. https://t.co/GDrqU22YpT,444066,1393426,1393425,,
"@AppleSupport The blue status indicator is very slow and finally fails, giving me the red alert icon next to the message. The dialog that pops up says ""Your message could not be sent. Cancel / Try Again"" - I've tried logging out and back into iCloud, restarting the app.",@137182 We'd love to assist you with getting this sorted. Are you receiving any error messages while trying to send messages?,137182,97034,97032,,
@AppleSupport 11.1.2 It says it’s updated to the latest version.,@542881 We'd love to help with your text problem! Which version of iOS 11 have you updated to?,542881,2924665,2924664,,
